operation_name,operation_type,min_ngn,max_ngn,min_tzs,max_tzs,min_usd,max_usd,ngn_rate,tzs_rate
tillage,manual,18500.00,19000.00,117479.98,120655.12,50.86,52.24,363.72,2309.72
tillage,manual,17500.00,18000.00,111129.72,114304.85,48.11,49.49,,
tillage,manual,16500.00,17000.00,104779.45,107954.58,45.36,46.74,,
tillage,manual,15500.00,16000.00,98429.18,101604.31,42.62,43.99,,
tillage,manual,14500.00,15000.00,92078.91,95254.04,39.87,41.24,,
tillage,tractor,9500.00,10000.00,60327.56,63502.69,26.12,27.49,,
tillage,tractor,8500.00,9000.00,53977.29,57152.42,23.37,24.74,,
tillage,tractor,7500.00,8000.00,47627.02,50802.16,20.62,21.99,,
tillage,tractor,6500.00,7000.00,41276.75,44451.89,17.87,19.25,,
tillage,tractor,5500.00,6000.00,34926.48,38101.62,15.12,16.50,,
ridging,manual,13500.00,14000.00,85728.64,88903.77,37.12,38.49,,
ridging,manual,12500.00,13000.00,79378.37,82553.50,34.37,35.74,,
ridging,manual,11500.00,12000.00,73028.10,76203.23,31.62,32.99,,
ridging,manual,10500.00,11000.00,66677.83,69852.96,28.87,30.24,,
ridging,manual,9500.00,10000.00,60327.56,63502.69,26.12,27.49,,
ridging,tractor,7000.00,7500.00,44451.89,47627.02,19.25,20.62,,
ridging,tractor,6000.00,6500.00,38101.62,41276.75,16.50,17.87,,
ridging,tractor,5000.00,5500.00,31751.35,34926.48,13.75,15.12,,
ridging,tractor,4000.00,4500.00,25401.08,28576.21,11.00,12.37,,
ridging,tractor,3000.00,3500.00,19050.81,22225.94,8.25,9.62,,
weeding,manual,7000.00,7500.00,44451.89,47627.02,19.25,20.62,,
weeding,manual,6000.00,6500.00,38101.62,41276.75,16.50,17.87,,
weeding,manual,5000.00,5500.00,31751.35,34926.48,13.75,15.12,,
weeding,manual,4000.00,4500.00,25401.08,28576.21,11.00,12.37,,
weeding,manual,3000.00,3500.00,19050.81,22225.94,8.25,9.62,,
weeding,herbicide,2500.00,3000.00,15875.67,19050.81,6.87,8.25,,
weeding,herbicide,2000.00,2500.00,12700.54,15875.67,5.50,6.87,,
weeding,herbicide,1500.00,2000.00,9525.40,12700.54,4.12,5.50,,
weeding,herbicide,1000.00,1500.00,6350.27,9525.40,2.75,4.12,,
weeding,herbicide,500.00,1000.00,3175.13,6350.27,1.37,2.75,,